series,strategic_role,visual_variety,ease_of_production,posts_sampled,median_views,avg_watch_s,completion_rate,shares_per_1k,comments_per_1k,profile_visits_per_1k,follows_per_1k,confidence,decision,notes
WV Road Test,reach + regional identity,,,,,,,,,,,LOW,TEST,
Ride Encounters,curiosity + shares,,,,,,,,,,,LOW,TEST,
One More Corner,relatable humor,,,,,,,,,,,LOW,TEST,
The Long Way Home,identity + cinematic,,,,,,,,,,,LOW,TEST,
Things BikeTok Doesn't Show,authenticity + humor,,,,,,,,,,,LOW,TEST,
Helmet On,rider identity + follow conversion,,,,,,,,,,,LOW,TEST,
Hybrid Life,differentiation + search,,,,,,,,,,,LOW,TEST,
60 Seconds of WV,watch time + monetization prep,,,,,,,,,,,LOW,TEST,
Road Said No,route humor,,,,,,,,,,,LOW,TEST,
Machine Details,visual variety + curiosity,,,,,,,,,,,LOW,TEST,
Meme Brain / Reaction Inserts,humor + rewatches/shares,,,,,,,,,,,LOW,TEST,
