asset_id,source_file,start_s,duration_s,format,hook,tts_text,status,notes,library_file_id,source_size_bytes
10_gps_vs_wv,20240102_172434_1.mp4,5.5,11.5,short,"GPS said two minutes. West Virginia said prove it.","GPS said two minutes. West Virginia said prove it.",SCHEDULED,"Native TikTok TTS still to be applied in TikTok if used",libfile_6b17f74a84ac8191a7ced9b071bd39f4,96663144
11_one_more_corner,20240102_172434_3.mp4,4.5,11.5,short,"Me: taking it easy today. Also me: one more corner.","Me: taking it easy today. Also me: one more corner.",SCHEDULED,"Native TikTok TTS still to be applied in TikTok if used",libfile_ae4444984c78819198c1356f0139dbe7,79190956
12_quick_ride,20240102_173805_2.mp4,52,12,short,"The group chat said quick ride. Three hours later…","The group chat said quick ride. Three hours later…",SCHEDULED,"Native TikTok TTS still to be applied in TikTok if used",libfile_ccb1684d5e5081918384a7bc46c51546,338845527
13_missed_turn,20240102_173805_4.mp4,21,11.5,short,"POV: you missed the turn, so now it’s a scenic route.","POV: you missed the turn. So now it’s a scenic route.",SCHEDULED,"Native TikTok TTS still to be applied in TikTok if used",libfile_7c967470152c8191bc0b1fa20aa502da,334680430
07_corner_after_corner,unknown,unknown,62.9,long,"The corner after the corner is always the one that gets you.","",SCHEDULED,"Master exists in persistent file store; confirm source before re-editing",,
08_road_gets_narrower,unknown,unknown,62.8,long,"This road gets narrower, then somehow more fun.","",SCHEDULED,"Master exists in persistent file store; confirm source before re-editing",,
09_ride_or_turn_back,unknown,unknown,64.5,long,"Every bend hides another. Would you keep riding?","",SCHEDULED,"Master exists in persistent file store; confirm source before re-editing",,
14_quick_ride_again,TBD,TBD,TBD,short,"I said I would be home by six.","I said I would be home by six. That was optimistic.",SCRIPTED,"Select source moment before rendering",,
15_gps_left,TBD,TBD,TBD,short,"GPS said turn left.","GPS said turn left. The road said absolutely not.",SCRIPTED,"Select source moment before rendering",,
16_calm_ride,TBD,TBD,TBD,short,"Today was supposed to be relaxing.","Today was supposed to be relaxing. Then I saw this road.",SCRIPTED,"Select source moment before rendering",,
17_last_corner,TBD,TBD,TBD,short,"This is definitely the last corner.","This is definitely the last corner. I have lied before.",SCRIPTED,"Select source moment before rendering",,
20_why_this_road,TBD,TBD,TBD,long,"This road looks ordinary for about five seconds.","Narration outline in voiceover_scripts.md",SCRIPTED,"Select source moment and record the one-minute narration",,
21_three_signs,TBD,TBD,TBD,long,"Three things I look for before a blind bend.","Narration outline in voiceover_scripts.md",SCRIPTED,"Select source moment and record the one-minute narration",,
26_no_inspiration_avatar,"zeph-avatar-no-inspiration-v1.png + 20240102_172434_4.mp4",29.0,7.8,short,"No inspirational quote today.","",READY_FOR_OWNER_REVIEW,"Finished avatar photo-motion master; original 104 BPM soundtrack plus owned Z7 engine layer; no third-party media; no home/garage imagery",libfile_9b0df9b828a881919cb60d052138251d,11044729
