status,priority,source_platform,source_url,creator,source_topic,reuse_mode_available,concept,zeph_added_value,rights_status,cover_plan,target_length_s,notes
SCOUT,P1,TikTok,,,relatable rider humor,"repost/stitch/duet TBD",20-minute ride joke,cut to our own long-ride footage,TBD,Rider/Graphic,8-12,
SCOUT,P1,TikTok,,,wholesome rider interaction,"stitch/duet TBD",older rider approval,bridge to our own thumbs-up gentleman clip,TBD,Encounter/Rider,10-18,
SCOUT,P1,TikTok,,,animal road moment,"stitch TBD",weird road interruption,bridge to our real turkey crossing,TBD,Encounter,8-15,
SCOUT,P1,TikTok,,,hybrid motorcycle hot take,"stitch/duet TBD",hybrid is not a real bike,response from actual Kawasaki hybrid owner,TBD,Bike Hero,10-25,
SCOUT,P1,TikTok,,,motorcycle owner humor,"stitch TBD",bike expenses joke,our own gear/gas/bike punchline,TBD,Humor/Detail,8-15,
SCOUT,P2,TikTok,,,WV/Appalachian road take,"stitch TBD",best roads in your state,answer with our own WV footage,TBD,Destination/Road,12-25,
SCOUT,P2,TikTok,,,beginner low-speed mistake,"stitch/duet TBD",parking embarrassment,light self-deprecating reaction without shaming,TBD,Rider/Bike,8-20,
SCOUT,P2,TikTok,,,motorcycle community prompt,"stitch TBD",unpopular motorcycle opinion,short Zeph POV plus comment prompt,TBD,Rider Hero,10-20,
SCOUT,P2,TikTok,,,sportbike stereotype,"stitch/duet TBD",sportbike rider stereotype,playful counterpoint using our own footage,TBD,Rider/Graphic,8-15,
SCOUT,P2,TikTok,,,gear/weather annoyance,"stitch TBD",weather changed mid-ride,our own WV weather contrast,TBD,Environment/Detail,8-18,
