id,priority,series,format,hook,beats,punchline,source_needed,approved_setting,tts,cover_text,status,notes
AM-001,P0,Animated Biker Problems,animated-remix-v2,When they think I have my highs on...,approaching car flashes; rider toggles beam; comic beam blooms,JOKE'S ON YOU. THOSE WERE NEVER MY HIGHS.,z7-highbeam-viral-cover.png,scenic mountain road only,optional,JOKE'S ON YOU,DRAFT_RENDERED,Local animatic rendered; no home or garage imagery. Scheduled TikTok 2026-09-26 10:00 America/New_York.
AM-002,P0,GPS vs. Rider,animated-original,GPS said eight minutes.,map says 8 minutes; rider chooses one back road; map becomes a quest tree,ETA: EVENTUALLY.,new road footage or graphic map,public road or graphic-only,deadpan,ETA: EVENTUALLY,DRAFT_RENDERED,"Local 8-second motion-graphics draft rendered: zeph-rides-gps-sidequest-v1.mp4; graphic-only road map, no home/garage imagery. Scheduled TikTok 2026-09-25 10:00 America/New_York."
AM-003,P0,Animated Biker Problems,animated-original,I said one more corner.,one corner becomes three; three becomes an infinite WV road loop,THIS IS NOT A UNIT OF TIME.,any winding public-road clip,public road only,optional,ONE MORE CORNER,READY_TO_BRIEF,Do not use a residential route or recognizable home landmark.
AM-004,P0,Clutch Tribunal,meme-card-to-video,The court has reviewed your five-minute ride.,full gear docket; gavel hits; verdict card fills frame,SENTENCE: YOU ARE STILL PUTTING ON THE BOOTS.,ct-002-atgatt.png or new graphic,graphic-only or legal parking area,yes,FIVE-MINUTE RIDE COURT,READY_TO_BRIEF,Best as a 7-second card animation.
AM-005,P0,Seasonal Chaos,animated-original,DEER SEASON PATCH NOTES.,patch notes appear; visibility drops; panic meter fills,VISIBILITY -90%. PANIC +200%.,ct-006-deer-season.png plus safe road clip,public road only,optional,DEER SEASON PATCH,DRAFT_RENDERED,"Local 7-second motion-graphics draft rendered: zeph-rides-deer-patch-v1.mp4; graphic patch-notes treatment, no real animal close call. Scheduled TikTok 2026-09-25 18:00 America/New_York."
AM-006,P1,Animated Biker Problems,animated-original,Fuel light: eight miles.,fuel light appears; rider sees another perfect road; map labels it “bad decision”,RANGE ANXIETY INSTALLED.,road footage plus bike detail,public road or legal pull-off,deadpan,RANGE ANXIETY,READY_TO_BRIEF,Never encourage running out of fuel.
AM-007,P1,GPS vs. Rider,animated-original,The GPS avoided one road.,route expands from 12 minutes to an absurd maze,THE APP HAS PERSONAL BEEF.,graphic map or public-road clip,graphic-only or public road,optional,PERSONAL BEEF,READY_TO_BRIEF,"Use UI-like motion, not a copied navigation screenshot."
AM-008,P1,Animated Biker Problems,animated-original,Weather app: clear.,sun icon flips to storm boss; rider looks at sky,WV WEATHER DLC.,public-road weather clip,public road only,optional,WEATHER DLC,READY_TO_BRIEF,"Keep the weather gag observational, not a safety instruction."
AM-009,P1,Clutch Tribunal,card-animation,They did not wave back.,wave freezes; tribunal opens; sentence appears,OVERTHINK IT FOR THREE BUSINESS DAYS.,ct-005-biker-wave.png,graphic-only,yes,SOCIAL VIOLATION,READY_TO_BRIEF,Facebook-native card rendered separately as facebook-clutch-verdict-v1.png; keep Facebook media distinct from TikTok and away from home/garage imagery.
AM-010,P1,Hybrid Life,animated-original,They asked if the Z7 is automatic.,question becomes a courtroom exhibit; rider points to the verdict,IT IS STILL A MOTORCYCLE.,bike detail clip or graphic,public road or legal parking area,optional,AUTOMATIC? APPEAL BELOW.,READY_TO_BRIEF,Stay factual and good-natured.
AM-011,P1,Animated Biker Problems,animated-original,A bug hit the visor.,tiny impact; visor becomes a boss-health bar; visibility meter drops,BOSS FIGHT: ORGANIC.,helmet/road clip,public road only,optional,VISOR BOSS,BACKLOG,No face reveal; use helmet close-up.
AM-012,P1,WV Road Boss Fight,animated-original,This pavement has phases.,road patch becomes a video-game level map; rider takes the safe line,ROAD BOSS DEFEATED.,safe public-road footage,public road only,no,ROAD BOSS,BACKLOG,No aggressive maneuvering or speed claims.
AM-013,P1,GPS vs. Rider,animated-original,I was absolutely going home.,home icon gets replaced by a scenic detour quest; rider keeps going,THE ROAD FILED AN APPEAL.,public-road turn clip,public road only,deadpan,"GOING HOME, TECHNICALLY",BACKLOG,Do not show the actual home or driveway.
AM-014,P1,Clutch Tribunal,card-animation,All-black gear at night.,visibility court; drip meter and visibility meter compete,DRIP OR ACTIVE CAMOUFLAGE?,ct-008-black-gear.png,graphic-only or public night road,yes,VISIBILITY COURT,BACKLOG,Use as a Facebook-safe static/reel cut too.
AM-015,P2,Animated Biker Problems,animated-original,The ride was supposed to be quick.,clock spins; road count increments; sunset becomes night,QUICK IS A STATE OF MIND.,public-road sequence,public road or legal pull-off,optional,QUICK RIDE,BACKLOG,Avoid showing elapsed time as a safety claim.
